Date,VOO,VT,AAPL,MSFT
12/03/2012,107.036453,39.35754,68.451202,26.529362
13/03/2012,108.958168,40.053268,70.447701,27.051001
14/03/2012,108.873131,39.904175,73.111374,27.133808
15/03/2012,109.434326,40.144367,72.612862,27.200039
16/03/2012,109.587379,40.276897,72.61409,26.99304
19/03/2012,110.046547,40.392841,74.539894,26.661844
20/03/2012,109.74044,40.07811,75.142578,26.487959
21/03/2012,109.570389,40.003555,74.713524,26.421713
22/03/2012,108.72007,39.531471,74.321663,26.496241
23/03/2012,109.145233,39.837921,73.913658,26.504519
26/03/2012,110.622818,40.425972,75.269066,26.984766
27/03/2012,110.315346,40.185776,76.199097,26.926798
28/03/2012,109.785797,39.887615,76.58847,26.653559
29/03/2012,109.5979,39.821369,75.626198,26.5956
30/03/2012,109.956619,39.978722,74.347702,26.711521
02/04/2012,110.844887,40.392841,76.71373,26.736357
03/04/2012,110.417862,40.011848,78.039345,26.44656
04/04/2012,109.256241,39.39896,77.418076,25.842106
05/04/2012,109.222084,39.316147,78.580025,26.098789
09/04/2012,108.00927,38.976551,78.89621,25.751032
10/04/2012,106.130257,38.198017,77.930214,25.229387
11/04/2012,107.001427,38.636993,77.652458,25.130032
12/04/2012,108.470482,39.307846,77.227119,25.65167
13/04/2012,107.172256,38.661835,75.052063,25.510906
16/04/2012,107.052689,38.794353,71.939499,25.734476
17/04/2012,108.692551,39.390678,75.606346,26.032551
18/04/2012,108.316734,39.15049,75.437706,25.784149
19/04/2012,107.616386,38.976551,72.845993,25.676514
20/04/2012,107.787193,39.100796,71.052872,26.844006
23/04/2012,106.864777,38.595577,70.894127,26.5956
24/04/2012,107.25766,38.736385,69.477982,26.429993
25/04/2012,108.760887,39.258163,75.643555,26.661844
26/04/2012,109.512474,39.589458,75.35833,26.587317
27/04/2012,109.734535,39.672283,74.775505,26.479673
30/04/2012,109.256241,39.506634,72.416931,26.512798
01/05/2012,109.973717,39.70541,72.1875,26.504519
02/05/2012,109.632057,39.55632,72.66494,26.330631
03/05/2012,108.829208,39.225033,72.149063,26.297516
04/05/2012,107.052689,38.52932,70.094284,25.65167
07/05/2012,107.138084,38.694969,70.618835,25.378426
08/05/2012,106.676872,38.305691,70.457634,25.254229
09/05/2012,106.079002,37.941269,70.581635,25.469513
10/05/2012,106.266922,38.040657,70.747803,25.452951
11/05/2012,105.925262,37.916424,70.275345,25.800713
14/05/2012,104.797859,37.295254,69.222549,25.403267
15/05/2012,104.217079,36.980522,68.596275,25.178238
16/05/2012,103.772926,36.690643,67.717102,24.919872
17/05/2012,102.201416,36.185425,65.737991,24.769852
18/05/2012,101.398537,35.878979,65.77021,24.394806
21/05/2012,103.106758,36.549839,69.601997,24.794863
22/05/2012,103.328819,36.483578,69.06752,24.803186
23/05/2012,103.328819,36.359356,70.752777,24.261457
24/05/2012,103.516716,36.25169,70.102989,24.228115
25/05/2012,103.277557,36.177128,69.727234,24.219776
29/05/2012,104.456238,36.67408,70.964836,24.636501
30/05/2012,102.953033,35.953522,71.82048,24.453144
31/05/2012,102.696793,35.978371,71.641876,24.328133
01/06/2012,100.18573,35.158409,69.56604,23.711386
04/06/2012,100.151566,35.249516,69.97525,23.794737
05/06/2012,100.732353,35.431744,69.794205,23.761393
06/06/2012,103.140923,36.400764,70.864388,24.461477
07/06/2012,103.123825,36.400764,70.896614,24.361462
08/06/2012,103.977928,36.450451,71.963058,24.711512
11/06/2012,102.713875,35.978371,70.828438,24.08643
12/06/2012,103.909615,36.508434,71.447174,24.411472
13/06/2012,103.226311,36.21027,70.951164,24.278118
14/06/2012,104.370819,36.467022,70.873047,24.453144
15/06/2012,105.293259,36.922543,71.195473,25.019886
18/06/2012,105.51532,36.955681,72.640114,24.869865
19/06/2012,106.591484,37.485733,72.84227,25.586628
20/06/2012,106.420647,37.543716,72.635178,25.778318
21/06/2012,104.080414,36.566414,71.634453,25.1199
22/06/2012,104.832001,36.914268,72.1838,25.586628
25/06/2012,103.166405,36.185425,70.778801,24.894865
26/06/2012,103.664368,36.392475,70.935043,25.019886
27/06/2012,104.591644,36.748615,71.241348,25.144907
28/06/2012,104.35125,36.640949,70.565521,24.928211
29/06/2012,106.94413,37.825329,72.419403,25.494946
02/07/2012,107.236023,37.966129,73.475929,25.469946
03/07/2012,107.940071,38.37196,74.33033,25.636631
05/07/2012,107.476448,38.007538,75.636093,25.586628
06/07/2012,106.480484,37.593422,75.132645,25.161566
09/07/2012,106.343124,37.49403,76.125954,25.003218
10/07/2012,105.364349,37.195854,75.4216,24.786518
11/07/2012,105.3815,37.270409,74.952843,24.419807
12/07/2012,104.832001,36.897701,74.267082,23.861404
13/07/2012,106.617851,37.485733,75.019798,24.49482
16/07/2012,106.377487,37.477467,75.260384,24.536497
17/07/2012,107.133003,37.70937,75.264091,24.719845
18/07/2012,107.905746,37.908146,75.179779,25.378258
19/07/2012,108.180481,38.140053,76.179276,25.561623
20/07/2012,107.184525,37.593422,74.936729,25.103233
23/07/2012,106.119904,37.063351,74.878433,24.403141
24/07/2012,105.278465,36.64922,74.517601,24.294792
25/07/2012,105.209816,36.773468,71.299644,24.028091
26/07/2012,106.926949,37.568569,71.288452,24.30312
27/07/2012,108.987511,38.330544,72.563248,24.803186
30/07/2012,108.935997,38.239429,73.787193,24.703178
31/07/2012,108.231964,38.098629,75.737808,24.561493
01/08/2012,108.111778,37.982677,75.247986,24.511488
02/08/2012,107.356262,37.601692,75.369507,24.328133
03/08/2012,109.451157,38.545891,76.350395,24.794863
06/08/2012,109.743088,38.736385,77.199837,24.961546
07/08/2012,110.241051,39.009682,76.996452,25.219912
08/08/2012,110.361244,38.976551,76.866241,25.278255
09/08/2012,110.481438,39.059387,77.304634,25.419937
10/08/2012,110.653175,39.13393,77.425423,25.353266
13/08/2012,110.567307,39.04282,78.459106,25.328255
14/08/2012,110.618805,39.059387,78.669563,25.277922
15/08/2012,110.739014,39.084236,78.562454,25.336651
16/08/2012,111.494576,39.473503,79.248688,25.82325
17/08/2012,111.752144,39.506634,80.714493,25.923918
20/08/2012,111.717796,39.45694,82.836609,25.78969
21/08/2012,111.374344,39.465218,81.704552,25.840017
22/08/2012,111.391533,39.432095,83.299904,25.621893
23/08/2012,110.515778,39.167053,82.522774,25.386988
24/08/2012,111.202652,39.233315,82.596268,25.638676
27/08/2012,111.202652,39.216747,84.147995,25.747744
28/08/2012,111.099602,39.225033,84.038406,25.697403
29/08/2012,111.202652,39.158764,83.87278,25.714178
30/08/2012,110.361244,38.769505,82.677208,25.437325
31/08/2012,110.945084,39.04282,82.847824,25.856806
04/09/2012,110.653175,39.001415,84.059593,25.496048
05/09/2012,110.653175,38.943428,83.469276,25.496048
06/09/2012,112.954124,39.837921,84.221489,26.301453
07/09/2012,113.417778,40.21891,84.740822,25.965872
10/09/2012,112.748123,39.929028,82.536484,25.772911
11/09/2012,113.057198,40.177494,82.26873,25.831635
12/09/2012,113.417778,40.343151,83.41449,25.82325
13/09/2012,115.220779,41.047138,85.057144,25.957478
14/09/2012,115.701576,41.361862,86.090805,26.183994
17/09/2012,115.358192,41.154808,87.149361,26.183994
18/09/2012,115.237923,41.022285,87.414642,26.158833
19/09/2012,115.323807,41.105129,87.438324,26.049767
20/09/2012,115.306656,40.898064,87.014877,26.385347
